Question,Level,Criteria,Marks,Sample Answer,Source
,3,Provides a clear and concise definition of sovereignty and explains its importance in understanding political power.,4,"Sovereignty refers to the supreme legal authority within a territory. A sovereign state can make laws, manage foreign affairs, and control its land. Understanding sovereignty is crucial because it defines governments' legitimacy and power dynamics. It clarifies who has the ultimate authority to make decisions and rule within a nation's borders.",https://commons.libretexts.org/book
what's the difference between hardware and software in computer science? Provide a brief example of each.,1,Identifies hardware and software as different computer parts.,1,A computer has two main parts: hardware and software.,https://commons.libretexts.org/book
,2,Explains that hardware is physical and software provides instructions.,3,Hardware is the physical stuff like the monitor and keyboard you can touch. Software is like the games or programs you use on the computer.,https://commons.libretexts.org/book
,3,Explains the interdependence of hardware and software with specific examples.,4,"Hardware consists of the physical components, like the CPU and memory, that make up the computer itself. Software is the set of instructions, like operating systems and applications, that tells the hardware what to do. You need both to use a computer. For example, you can't see anything on the monitor (hardware) without software instructions to display an image. Similarly, software like a game needs the computer's hardware (processor) to run its calculations.",https://commons.libretexts.org/book
"What's the difference between a drug and a medication? Can all drugs be considered medications? Briefly explain.
",1,Introduces the difference between a drug and medication based on use.,1,"A drug is any substance you take that affects your body, while medication is specifically used to make you better when you're sick.",https://commons.libretexts.org/book
,2,Explains medications are a specific type of drug and clarifies how they are typically obtained.,3,"A drug is any substance that can cause a change in the body, like caffeine or aspirin. Medication is a drug used to treat or prevent diseases and is typically prescribed by a doctor.",https://commons.libretexts.org/book
,3,Provides additional details on drug classifications and highlights the legality aspect.,4,"Drugs can be legal or illegal and include substances like caffeine or marijuana that can have various effects. Medications are legal drugs tested for safety and effectiveness to treat specific diseases. So, not all drugs are medications.",https://commons.libretexts.org/book
"Briefly define the difference between power and energy, and provide the units used to measure each.
",1,Introduces the difference between power and energy.,1,"Energy is how much work you can do, and power is how fast you can do it.",https://commons.libretexts.org/book
,2,Explains power as the rate of energy transfer and provides the unit (watts).,3,"Energy is like the total fuel you have, and power is how quickly you use that fuel. Power, measured in watts, is the rate at which energy is transferred.",https://commons.libretexts.org/book
,3,Explain the difference with an analogy and mention the unit for energy (joules).,4,"Imagine the energy, like the total water in a tank. Power is how fast that water flows out. Energy is the complete resource measured in joules. Power, measured in watts (joules per second), is the resource use rate.",https://commons.libretexts.org/book
"What is socialisation, and how does it shape our identities throughout life? Briefly explain two main agents of socialisation.",1,Introduces socialisation as learning social norms and behaviours and how they shape identity.,1,"Socialization is how we learn the rules and behaviours of society, and it helps us figure out who we are.",https://commons.libretexts.org/book
,2,"Socialisation is a lifelong process influenced by family and peers, shaping our values and sense of self.",3,"Socialization is a lifelong process where we keep learning how to act in society. Our family teaches us basic rules, and our friends influence us as we grow up. This shapes who we are and what we believe in.",https://commons.libretexts.org/book
,3,"Explains socialisation as enculturation and acculturation, mentioning additional agents like media and social institutions.",4,"Socialization is a continuous process of learning our culture (enculturation) and adapting to new ones (acculturation). It shapes our identity through many influences, including family, friends, media, schools, and religion. These all teach us values, beliefs, and how to behave, which shapes our personality and who we see ourselves as.",https://commons.libretexts.org/book
How do gases differ from liquids?,1,Provides an inaccurate or irrelevant explanation. ,1,"Gases and liquids are fluids, but I need clarification on the main difference. They can both flow and move around.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or clarification on specific properties.,3, Gases are like free spirits; they don't have a specific shape and can fill any container. You can easily squeeze them into a smaller space. Liquids are more like a chameleons; they take the shape of their container but have a set amount of volume. It's hard to squish them much.,https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of the critical differences between gases and liquids, addressing properties like shape, volume, compressibility, and intermolecular forces.",4,"Gases and liquids, despite seeming similar, have distinct properties. Unlike liquids with a fixed volume conforming to their container, gases have no set shape or volume, expanding freely to fill their container. This difference arises from intermolecular forces. Weak gas forces allow them to move freely with ample space between molecules. Liquids, with more vital intermolecular forces, have their molecules packed closer, resulting in a definite volume and resistance to shape change.",https://commons.libretexts.org/book
What is the difference between an organic compound and an inorganic compound?,1,Provides an explanation that needs to be more accurate.,1,Organic and inorganic are just different types of chemicals. I don't know what the main difference is.,https://commons.libretexts.org/book
,2,"Provides a partially accurate explanation but may lack some details or contain minor inaccuracies (e.g., not all organic compounds come from living things).",3,"Organic compounds usually have carbon in them, and they come from living things like plants and animals. Inorganic compounds don't necessarily have carbon and can be things like water or rocks.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of the key difference between organic and inorganic compounds, addressing carbon content and origin.",4," The primary distinction between organic and inorganic compounds is their carbon content and origin. Organic compounds generally contain carbon atoms as a central building block, often associated with living organisms or processes derived from them. Examples include carbohydrates, proteins, and DNA. Inorganic compounds, on the other hand, can encompass a wider variety of substances and may not necessarily contain carbon. This category includes water, salts, and many minerals.",https://commons.libretexts.org/book
"Why is a fever a “good thing” during a bacterial infection?
",1,Provides an inaccurate or irrelevant explanation. ,1,Fever is a sign of sickness. It makes you feel hot and uncomfortable.,https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or contain minor inaccuracies.,3,"Our body temperature rises after a bacterial infection. This is called a fever; while it can feel uncomfortable, it's good! The higher temperature makes it harder for bacteria to grow and reproduce. It's like turning up the heat in their environment and making them less comfortable.",https://commons.libretexts.org/book
,3,Provides a clear and scientifically accurate explanation of why a fever can be beneficial during a bacterial infection.,4,"When bacteria invade our bodies, our internal thermostat kicks in, raising our temperature. This creates a hostile environment for the bacteria, making it harder for them to grow and reproduce. The increased temperature also stimulates our immune system, enhancing its ability to fight off the infection. A fever is the body's natural defence mechanism against bacterial invaders.",https://commons.libretexts.org/book
Why do covalent compounds generally have lower melting points than ionic compounds?,1,Provides an inaccurate or irrelevant explanation. ,1,"The melting point depends on the type of compound, but I don't know why covalent compounds would melt more quickly.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or contain minor inaccuracies.,3,"Covalent compounds have weaker bonds than ionic compounds, so it takes less heat to melt them. Ionic compounds have strong bonds between positive and negative ions, making them harder to melt.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of why covalent compounds have lower melting points than ionic compounds, addressing intermolecular forces.",4,"The critical difference in melting points lies in the forces holding the molecules together. Weaker intermolecular forces hold covalent compounds, primarily van der Waal's forces, arising from temporary attraction between molecules. These quick attractions are significantly more vulnerable than the strong ionic bonds in ionic compounds formed by the electrostatic attraction between oppositely charged ions. As a result, overcoming the intermolecular forces in covalent compounds takes less energy, leading to lower melting points than ionic compounds.",https://commons.libretexts.org/book
"What is the distinction between gas and vapour?
",1,Provides an inaccurate or irrelevant explanation. ,1, Gas and vapour are the same. They're both just different types of air.,https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or clarification.,3,"Gas is just any kind of air, like oxygen or nitrogen. Vapour is like the gas version of something, usually liquid or solid, like steam from water.",https://commons.libretexts.org/book
,3,"Provides a clear and concise explanation of the critical distinction between gas and vapour, addressing the role of temperature and phase transitions.",4,"Gas and vapour seem interchangeable, but a subtle distinction exists. Gas refers to any substance in a gaseous state, regardless of origin. Oxygen, for example, is always a gas at room temperature. Conversely, vapour refers explicitly to the gaseous phase of a substance, usually a liquid or solid at room temperature. Water vapour, for instance, is the gaseous form of water, typically a liquid at room temperature. The key here is the concept of equilibrium. Vapour exists in equilibrium with its liquid/solid phase at a given temperature and pressure. This means vapour molecules constantly transition between the gaseous and liquid/solid phases.",https://commons.libretexts.org/book
"What is the difference between positive and normative economics?
",1,Provides an inaccurate or irrelevant explanation. ,1,"Positive and normative economics sound similar, I don't know what the difference is.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may lack details or confuse terminology.,3,"Positive economics is like looking at economic data and explaining why things happen, while normative economics is more about opinions on what economic policies would be best.",https://commons.libretexts.org/book
,3,Provides a clear and concise explanation of the key difference between positive and normative economics.,4,"Positive and normative economics are two sides of the economic coin but deal with different things. Positive economics is about ""what is"" – describing and explaining economic phenomena based on data and analysis. It asks questions like ""How does inflation affect consumer spending?"" and uses evidence to find answers. Normative economics, on the other hand, focuses on ""what ought to be"" –
making value judgments and recommendations. It considers ""Should the government raise taxes?"" and proposes policies based on specific values or goals.",https://commons.libretexts.org/book
"Describe the core ideas of the Enlightenment and its impact on European thought.
",1,Provides an inaccurate or irrelevant explanation. ,1,"The Enlightenment was a European movement, but I need clarification on its focus.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or use imprecise language. ,3,The Enlightenment was a time in Europe when people started using reason and science more to figure things out instead of relying on religion. This led to more scientific discoveries and a focus on individual rights.,https://commons.libretexts.org/book
,3,"Provides a clear and concise explanation of the core Enlightenment ideas (reason, logic, scepticism) and their impact on European thought (focusing on secularism, science, and individualism).",4,"The Enlightenment championed reason, logic, and scientific observation as the keys to understanding the universe. This challenged traditional religious authority and fueled a rise in secularism. Science flourished as a means of discovery, and individual rights and freedoms gained greater emphasis.",https://commons.libretexts.org/book
"What is civil society, and how does it play a role in a healthy democracy?
",1,Definition or explanation contains significant errors or irrelevant information.,1,Civil society is like different social clubs. I'm not sure how they relate to democracy.,https://commons.libretexts.org/book
,2,"Offers a mostly accurate definition of civil society, but the explanation of roles might be limited.",3,Civil society refers to non-governmental groups that play a role in society. They can help citizens engage with the government and promote social issues.,https://commons.libretexts.org/book
,3,"Provides a clear and concise definition of civil society and explains its critical roles in a healthy democracy (e.g., participation, accountability).",4,"Civil society is the network of organisations outside of government and business (NGOs, charities, etc.). It strengthens democracy by fostering citizen participation, promoting democratic values, and holding the government accountable.",https://commons.libretexts.org/book
Computers use the binary system for processing information. Explain what the binary system is and why it's essential.,1,Introduces the binary system as a system with two digits.,1,"To understand information, computers use a unique language with only two numbers, 0 and 1.",https://commons.libretexts.org/book
,2,The binary system uses 0s and 1s to represent on/off states.,3,"Computers use electricity to understand things as on or off. The binary system uses 0 for off and 1 for on to store information like text, pictures, and videos.",https://commons.libretexts.org/book
,3,Explains the efficiency of binary for computers and how it relates to electronic circuits.,4,"Computers are made of circuits with tiny switches that can be either on or off. The binary system perfectly matches this, with zeros representing off and ones representing on. This makes it efficient for computers to process and store information because they can quickly turn switches on and off to represent the 0s and 1s.",https://commons.libretexts.org/book
" Medications come in various forms, like tablets, capsules, and syrups. What are dosage forms, and why are there different types?",1,Introduces dosage forms as different ways to take medication.,1,"Dosage forms are the different ways medicines come in, like pills, capsules, and liquids.",https://commons.libretexts.org/book
,2,Explains that dosage forms are chosen based on factors like ease of use and how quickly the body needs the medication.,3,"Dosage forms are the different ways medications can be taken, like tablets or syrups. Doctors choose the form depending on how easily you can take it or how quickly your body needs it.",https://commons.libretexts.org/book
,3,Provides additional details on examples of different dosage forms and their purposes.,4,"Dosage forms are the different presentations of medication, such as tablets, capsules, liquids, creams, and injections. The choice of form depends on several factors, including how fast the medication needs to act, how easy it is to swallow, and whether it's meant to have local effects (on a specific area) or systemic effects (throughout the body). For instance, injections are used for fast-acting medications, while slow-release tablets might be better for long-term treatment.",https://commons.libretexts.org/book
"Explain how a current-carrying conductor generates a magnetic field, and mention one practical application of this phenomenon.",1,Explains that electricity flowing through a wire creates a magnetic field around it.,1,"Electricity flowing through a wire makes a magnetic field around it, like an invisible force.",https://commons.libretexts.org/book
,2,Explains that moving electric charges (current) generate a magnetic field and mentions the right-hand rule. You can imagine tiny compasses spinning around the wire.,3,"When you turn on the electricity in a wire, the moving electric charges create a magnetic field that circles the wire. Imagine tiny compasses spinning around the wire to show this field.",https://commons.libretexts.org/book
,3,Explains the scientific basis (electromagnetism) and a practical application (electromagnets).,4,"Electricity and magnetism are linked. Electric current flows through a wire and generates a magnetic field around it. This is called electromagnetism. One application of this is the electromagnet. It uses wire coils to create a strong magnetic field when electricity runs through them, acting like temporary magnets. Electromagnets are used in many things, like electric motors, power appliances, and MRI machines in hospitals.",https://commons.libretexts.org/book
"Briefly define culture and society, and mention one element that differentiates them.
",1,Introduces culture as traditions and beliefs and society as groups living together.,1,"Culture is about what we do and believe in, like traditions and holidays. Society is the people living in a place together.",https://commons.libretexts.org/book
,2,"Explains culture as shared beliefs, values, and practices and society as a group with structure and organisation.",3,"A culture is a group of people's shared beliefs, customs, and way of life. Society is a group of people living in a specific place, often with a government and organised way of life. Culture is one thing that shapes a society.",https://commons.libretexts.org/book
,3,Provides an analogy and highlights that societies can have subcultures.,4,"Imagine culture as the software that runs a society. The shared ideas, traditions, and values guide how people behave. Society is like hardware, and the structure comprises people and their organisations. Societies can even have subcultures, smaller groups with their own cultural identities.",https://commons.libretexts.org/book
 Describe the structure and complementary base pairing of DNA.,1,"Provides an inaccurate, incomplete, or superficial explanation.",1,DNA is the genetic material that looks like a spiral. It has different parts that connect.,https://commons.libretexts.org/book
,2,Provides a mostly accurate explanation but may need more details or contain minor inaccuracies.,3,DNA is like a twisted ladder with instructions for building an organism. It has two sides of sugar and phosphate molecules; rungs connect them. These rungs are made of unique molecules that connect in a specific way.,https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of DNA structure and complementary base pairing.",4,"DNA, the molecule of life, takes the shape of a twisted ladder called a double helix. Two sugar-phosphate backbones form the ladder's sides, connected by rungs made of nitrogenous bases. There are four types of bases: adenine (A), guanine (G), cytosine (C), and thymine (T). The crucial concept here is complementary base pairing: A always pairs with T, and C always pairs with G. This specific pairing ensures accurate copying of genetic information during cell division.",https://commons.libretexts.org/book
Why is it impossible to measure the absolute magnitude of the enthalpy of an object or a compound?,1,Provides an inaccurate or irrelevant explanation. ,1,"Enthalpy is how hot or cold something is, and it can be high or low depending on the material. I don't know why you can't just measure it directly.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or use imprecise language.,3,"Enthalpy is like the total energy in a system, but you can't measure it precisely. It depends on where you start and where you end up, not the exact path you take. Scientists set a starting point at 0 for some elements, but that's just a reference point, not the actual absolute value.",https://commons.libretexts.org/book
,3,Provides a clear and accurate explanation of why absolute enthalpy cannot be measured. Explains the concept of a reference state and how enthalpy changes are measured.,4,"Enthalpy, a system's total energy, depends on its final state, not its path. Scientists set a reference state to address this, arbitrarily assigning zero enthalpies to specific elements under defined conditions, such as 1 atm pressure and 25°C temperature. Consequently, only enthalpy changes (ΔH) can be measured, representing the difference in enthalpy between a process's final and initial states.",https://commons.libretexts.org/book
 What is the Heisenberg uncertainty principle? Does it place limits on what can be known?,1,Provides an inaccurate or irrelevant explanation. ,1,"The Heisenberg uncertainty principle is a physics concept, but I need clarification on its meaning.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or use imprecise language.,3,"The Heisenberg uncertainty principle is something in quantum mechanics that says you can't know everything perfectly about a tiny particle, like its exact location and speed, at the same time. The more precisely you measure one, the less you know about the other. It's like trying to catch a butterfly – the tighter you squeeze your hand, the harder it is to tell which way it is flying.",https://commons.libretexts.org/book
,3,"Provides a clear and concise explanation of the Heisenberg uncertainty principle, including wave-particle duality and its impact on measuring properties like position and momentum. Explains how it places a fundamental limit on what can be known simultaneously.",4,"The Heisenberg uncertainty principle, a cornerstone of quantum mechanics, states that there's a fundamental limit to how precisely we can know specific properties of a quantum particle simultaneously. It's like trying to measure a blurry object's movement – the fuzzier the object (uncertain position), the less precise you are about its speed and direction. This limitation arises because quantum mechanics describes particles with wave-like properties. The wave nature introduces an inherent fuzziness in precise measurement. The most prominent example involves a particle's position and momentum. The more accurately you pinpoint its location, the less you can know about its momentum, and vice versa.",https://commons.libretexts.org/book
What factors can cause a stock market crash?,1,Provides an inaccurate or irrelevant explanation. ,1,"Stock market crashes are when the stock market goes down a lot, but I'm not sure why it happens.",https://commons.libretexts.org/book
,2,It provides a partially accurate explanation but may lack details or mention only a few factors.,3,"Stock market crashes can happen when there's a bad economy or investors get scared and sell their stocks at once. Also, if the government changes taxes or regulations, it can affect the market.",https://commons.libretexts.org/book
,3,"Provides a clear and concise explanation of several factors that can cause a stock market crash, including economic downturns, excessive speculation, changes in government policies, and unforeseen events.",4,"Stock market crashes can be triggered by several factors: Economic weakness: When companies profit less, stock prices can fall as investors lose confidence. Excessive speculation: Unrealistic buying can inflate stock prices beyond their actual value, leading to a potential crash if the bubble bursts. Policy shifts: Unexpected government policy changes can create uncertainty, prompting investors to sell their stocks. Unforeseen events: Black swan events like pandemics or wars can disrupt markets and cause panic selling.",https://commons.libretexts.org/book
What were the major causes that led to the outbreak of World War I?,1,Provides an inaccurate or irrelevant explanation. ,1,"World War I was long ago, but I'm unsure what caused it.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may lack details on some causes or use generic terms.,3,"There were a few reasons why World War I started. Countries made alliances that pulled them into fights, and they were building their armies. Also, everyone wanted colonies and was very proud of their own countries.",https://commons.libretexts.org/book
,3,"Provides a clear and concise explanation of several major causes that led to World War I, including: * Alliances: A complex web of alliances entangled European nations, drawing them into conflict. * Militarism: Glorification of military power and arms race fueled tensions. * Imperialism: Competition for colonies and resources increased rivalry between nations. * Nationalism: Strong nationalistic pride and desire for expansion fostered animosity.",4,"The outbreak of World War, a single event, didn't cause me, but a tinderbox of tensions. Alliances like the Triple Alliance and Triple Entente drew nations into conflict when one member was attacked. An arms race fueled anxieties as countries stockpiled weapons. Competition for colonies in Africa and Asia created rivalries. Rising nationalism across Europe fostered a sense of superiority and a desire for expansion, leading to friction between nations. These factors all played a role in pushing Europe over the brink of war.",https://commons.libretexts.org/book
"Distinguish between a monarchy and a democracy, mentioning a key feature of each.
",1,Contains significant errors or irrelevant information about monarchies and democracies.,1,Monarchies and democracies are both ways to run a country. I don't know what the difference is.,https://commons.libretexts.org/book
,2,It identifies some system characteristics but may need more clarity or critical details.,3,"A monarchy has a king or queen, while a democracy lets people choose their leaders. Monarchies are more traditional, while democracies focus on giving people a say in government.",https://commons.libretexts.org/book
,3,"Provides a clear and concise distinction between monarchy and democracy, highlighting a key feature (e.g., hereditary rule vs. electing leaders).",4,"In a monarchy, power is passed down through heredity, with a king, queen, or emperor as ruler. They may hold significant authority. Democracies, in contrast, empower the people. Citizens either directly vote on laws (direct democracy) or elect representatives to make decisions (representative democracy).",https://commons.libretexts.org/book
"What are algorithms, and how do they play a role in computer programs? Give a simple example of an everyday task that can be represented as an algorithm.
",1,Introduces algorithms as instructions for computers.,1,An algorithm is a set of instructions that a computer uses to get something done.,https://commons.libretexts.org/book
,2,Explains algorithms as problem-solving steps and relates them to programs.,3,An algorithm is a step-by-step plan that breaks down a problem into instructions a computer can understand. These instructions are used in computer programs to perform tasks.,https://commons.libretexts.org/book
,3,Provides a real-world example of an algorithm and connects it to computer programs.,4," An algorithm is like a recipe with instructions to solve a problem. In computers, programs use algorithms to follow steps. For instance, a recipe is like an algorithm for baking cookies - you follow steps like mixing ingredients in a specific order. Similarly, a program sorting numbers might follow an algorithm that breaks down the steps to compare each number and arrange them in order.",https://commons.libretexts.org/book
How medications enter the body can significantly impact their effect. Briefly explain the concept of the route of administration and give two common examples.,1,Introduces the route of administration and how medicine gets into the body.,1,"The route of administration is how medicine gets into your body. There are different ways, like swallowing pills or getting a shot.",https://commons.libretexts.org/book
,2,Explain how the administration route affects how quickly and how much medication reaches the bloodstream.,3,"The route of administration is the way medicine enters the body, affecting how fast it works. For instance, swallowing a pill takes time to digest, while a shot gets medicine directly into the bloodstream and works quicker.",https://commons.libretexts.org/book
,3,Provides specific examples of common routes of administration and their uses.,4,"The route of administration is the pathway for medication to enter the body. This can significantly impact how fast and how much medication reaches the bloodstream. Two common routes are oral, which takes time for digestion, and injection, which delivers medicine directly into the bloodstream and works faster.",https://commons.libretexts.org/book
"Briefly define KCL and KVL, and mention what they tell us about current and voltage in circuits.",1,Introduces KCL and KVL as circuit laws.,1,KCL and KVL are rules for understanding how electricity works in circuits.,https://commons.libretexts.org/book
,2,Explains KCL as the law of current balancing at junctions and KVL as the law of voltage balancing in loops.,3,KCL says that the total current going into a connection point in a circuit must equal the total current coming out. KVL says the total voltage used up going around a loop in a circuit must be zero.,https://commons.libretexts.org/book
,3,Provides an analogy and explains how KCL and KVL help analyse circuits.,4,Imagine water flowing in pipes. KCL is like saying all the water entering a junction (where pipes branch) must also come out. KVL is like saying the total pressure used up going around a closed loop (circular pipe) must be zero. These laws help us analyse electrical circuits to find unknown currents and voltages.,https://commons.libretexts.org/book
"Explain the concept of social stratification and give an example of a social hierarchy.
",1,Introduces social stratification as different social classes.,1,"Social stratification means different social classes, like rich and poor.",https://commons.libretexts.org/book
,2,Explains social stratification as a hierarchy based on socioeconomic factors.,3,"Social stratification is like a ladder in society, with the upper classes having more money, education, and opportunities than the lower classes.",https://commons.libretexts.org/book
,3,Explains social stratification with mobility and provides an example.,4,"Social stratification is the layered structure of society where different classes have different social positions. These classes are ranked based on wealth, income, education, and power. This ranking affects people's access to resources and opportunities throughout their lives. How easily someone can move between classes (social mobility) can also vary. For instance, the caste system in India is a historical example of a rigid social hierarchy where people are born into a particular caste and have limited social mobility.",https://commons.libretexts.org/book
"What is the relationship between a genome, chromosomes, and genes?
",1,"Provides an inaccurate, incomplete, or superficial explanation.",1,"DNA and genes are the same thing, and they make up the chromosomes.",https://commons.libretexts.org/book
,2,Provides a mostly accurate explanation but may lack some details or contain minor inaccuracies.,3,"The genome is all the genetic information in an organism, like a code. Chromosomes are parts of the code, and genes are smaller parts that tell the body how to do things.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of the relationship between genomes, chromosomes, and genes.",4,"Think of the genome as an organism's entire instruction manual. It's made up of DNA, containing all the genetic information. This information is organised into chromosomes, like separate chapters in the manual. Each chromosome is a long strand of DNA tightly coiled with proteins. Genes are the individual instructions within these chapters, specific stretches of DNA that code for particular traits or functions.",https://commons.libretexts.org/book
"Explain the effect of nonzero atomic volume on the ideal gas law at high pressure.
",1,Provides an inaccurate or irrelevant explanation. ,1,The ideal gas law is just a formula that doesn't consider everything about natural gases.,https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or use imprecise language.,3,"The ideal gas law works well for gases at low pressure, but things get slightly cramped at high pressure. Gas molecules have some size, and when you push them together a lot, it affects how much space they have to move around. This can make the pressure slightly higher than the ideal gas law predicts.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of how nonzero atomic volume affects the ideal gas law at high pressure. Discusses the concepts of reduced available volume and increased intermolecular interactions.",4,"The ideal gas law assumes negligible atomic volume and no interactions between gas molecules. At high pressure, these assumptions become less valid. Gas molecules have a non-zero volume, and when squeezed closer together at high pressure, the available space for movement within the container (V) is effectively reduced. This is because the volume occupied by the molecules becomes more significant than the total container volume. Additionally, increased intermolecular interactions, neglected in the ideal gas law, can come into play at high pressure. While not as substantial as the excluded volume effect, these interactions can slightly influence the pressure-volume relationship.",https://commons.libretexts.org/book
" What is Pascal's law? Briefly describe it.
",1,Provides an inaccurate or irrelevant explanation. ,1,"Pascal's Law is a scientific principle, but I need clarification on what it does.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details.,3,"Pascal's Law relates to how pressure works in fluids. If you push on a liquid in a closed container, the pressure goes everywhere in the liquid, not just where you push.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of Pascal's Law.",4,"Pascal's Law, named after Blaise Pascal, is a fundamental principle in fluid mechanics. It states that when pressure is applied to a confined fluid, it is transmitted equally throughout it in all directions. Imagine pressing down on a closed balloon filled with water. The pressure you exert doesn't just push down; it gets transmitted evenly throughout the water, pushing outwards on the balloon walls in all directions.",https://commons.libretexts.org/book
"What is marginal utility, and how does it influence consumer behaviour?
",1,Provides an inaccurate or irrelevant explanation. ,1,"Marginal utility sounds like something about taxes, I'm curious to know how it relates to consumers.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or use imprecise language.,3,"Marginal utility is something about how much you enjoy something and affects what you buy. The first slice of pizza might be unique, but the more you eat, the less unique each slice feels. So, people tend to buy things that give them the most enjoyment for their money.",https://commons.libretexts.org/book
